Player,Share,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Karl Malone\malonka01,0.045,24,82,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152
Fat Lever\leverfa01,0.033,27,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163
John Stockton\stockjo01,0.019,25,82,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238
Alex English\englial01,0.005,34,80,35.2,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,0.129
Isiah Thomas\thomais01,0.004,26,81,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124
Mark Jackson\jacksma01,0.003,22,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113
Michael Adams\adamsmi01,0.001,25,82,33.9,13.9,2.7,6.1,2,0.2,0.449,0.367,0.834,7.5,0.13
Mark Aguirre\aguirma01,0.001,28,77,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163
Adrian Dantley\dantlad01,0.001,32,69,31.1,20,3.3,2.5,0.6,0.1,0.514,0,0.86,9.4,0.21
Buck Williams\willibu01,0.001,27,70,37.7,18.3,11.9,1.6,1,0.6,0.56,1,0.668,7.6,0.138
Magic Johnson\johnsma02,0.782,29,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
Michael Jordan\jordami01,0.704,25,81,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292
Karl Malone\malonka01,0.426,25,80,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233
Patrick Ewing\ewingpa01,0.235,26,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181
Hakeem Olajuwon\olajuha01,0.211,26,82,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197
Charles Barkley\barklch01,0.111,25,79,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25
John Stockton\stockjo01,0.033,26,82,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236
Kevin Johnson\johnske02,0.026,22,81,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184
Tom Chambers\chambto01,0.024,29,81,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146
Mark Price\pricema01,0.021,24,75,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199
Brad Daugherty\daughbr01,0.005,23,78,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,0.164
Robert Parish\parisro01,0.005,35,80,35.5,18.6,12.5,2.2,1,1.5,0.57,0,0.719,10.5,0.177
Mark Eaton\eatonma01,0.004,32,82,35.5,6.2,10.3,1,0.5,3.8,0.462,0,0.66,6.6,0.108
Moses Malone\malonmo01,0.004,33,81,35.5,20.2,11.8,1.4,1,1.2,0.491,0,0.789,10.7,0.178
Chris Mullin\mullich01,0.004,25,82,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165
Larry Nance\nancela01,0.004,29,73,34.6,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,0.197
Terry Cummings\cummite01,0.001,27,80,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,0.131
Joe Dumars\dumarjo01,0.001,25,69,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7,0.14
Isiah Thomas\thomais01,0.001,27,80,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,0.115
Magic Johnson\johnsma02,0.691,30,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
Charles Barkley\barklch01,0.667,26,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269
Michael Jordan\jordami01,0.613,26,82,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,0.285
Karl Malone\malonka01,0.233,26,82,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245
Patrick Ewing\ewingpa01,0.176,27,82,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,0.205
David Robinson\robinda01,0.111,24,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241
Hakeem Olajuwon\olajuha01,0.07,27,82,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173
Tom Chambers\chambto01,0.013,30,81,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176
John Stockton\stockjo01,0.01,27,78,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238
Larry Bird\birdla01,0.005,33,75,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154
Buck Williams\willibu01,0.005,29,82,34.2,13.6,9.8,1.4,0.8,0.5,0.548,0,0.706,8.7,0.149
Clyde Drexler\drexlcl01,0.003,27,73,36.8,23.3,6.9,5.9,2,0.7,0.494,0.283,0.774,11.6,0.208
Joe Dumars\dumarjo01,0.001,26,75,34.4,17.8,2.8,4.9,0.8,0,0.48,0.4,0.9,8.7,0.162
Isiah Thomas\thomais01,0.001,28,81,37,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,0.107
Michael Jordan\jordami01,0.928,27,82,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321
Magic Johnson\johnsma02,0.518,31,79,37.1,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,0.251
David Robinson\robinda01,0.496,25,82,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,0.264
Charles Barkley\barklch01,0.231,27,67,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258
Karl Malone\malonka01,0.148,27,82,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,0.225
Clyde Drexler\drexlcl01,0.078,28,82,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,0.209
Kevin Johnson\johnske02,0.033,24,77,36,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,0.22
Dominique Wilkins\wilkido01,0.03,31,81,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177
Larry Bird\birdla01,0.026,34,60,38,19.4,8.5,7.2,1.8,1,0.454,0.389,0.891,6.6,0.14
Terry Porter\portete01,0.026,27,81,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,0.235
Patrick Ewing\ewingpa01,0.021,28,81,38.3,26.6,11.2,3,1,3.2,0.514,0,0.745,10,0.155
John Stockton\stockjo01,0.016,28,82,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14,0.217
Isiah Thomas\thomais01,0.011,29,48,34.5,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,3.4,0.098
